,0.5
2439005500,0.54861
2440817500,0.54851
2442205500,0.54852
2451550000,0.54669
2451621000,0.54717
2452949000,0.54717
2455330000,0.54715
2455756500,0.54754
2456347000,0.54777
2457485000,0.54778
2459378500,0.54763
2460029000,0.54773
2463101500,0.54727
2463293000,0.54771
2468988000,0.54679
2469479500,0.54715
2472087000,0.54692
2473018000,0.54703
2473408000,0.54735
2473634000,0.54751
2474140500,0.54769
2474288500,0.54802
2478470000,0.54741
2479282500,0.54763
2480627000,0.54767
2481077500,0.54788
2481320000,0.54813
2481773500,0.54823
2481983500,0.54849
2484762500,0.54814
2486164000,0.54807
2487937000,0.54785
2488343500,0.54801
2488405000,0.54823
2488586000,0.54837
2490278000,0.54826
2490378500,0.5485
2490417500,0.54881
2490546000,0.54899
2491723000,0.54919
2498367500,0.54814
2500348500,0.54805
2500792500,0.5483
2501088500,0.54843
2501317500,0.5486
2502176500,0.54871
2504333000,0.54862
2505259000,0.54872
2507102000,0.54873
2508291000,0.54871
2509544000,0.54885
2510634500,0.5489
2510957500,0.54914
2512766500,0.549
2513782500,0.54917
2514986500,0.54919
2516103500,0.54974
2516510000,0.54989
2518103000,0.54999
2518853000,0.55008
2524931500,0.54908
2525819000,0.54913
2527301500,0.54915
2528031500,0.54923
2528289000,0.54952
2530474500,0.54945
2530660500,0.54976
2530775500,0.55013
2530808000,0.5504
2532456000,0.55026
2532537500,0.55051
2533618500,0.55076
2533967500,0.55102
2537487500,0.55055
2537653000,0.55077
2539301000,0.55074
2539644500,0.55084
2540130500,0.5511
2540499500,0.55143
2540722000,0.55175
2542243000,0.55183
2543126000,0.55202
2545436000,0.55188
2546612000,0.55188
2546631500,0.55214
2547177500,0.55244
2548179000,0.55255
2549703500,0.55246
2550495000,0.55259
2551545500,0.55269
2552464000,0.5527
2553318000,0.5528
2555590000,0.55245
2559836000,0.55174
2560164000,0.55185
2560490000,0.55216
2560760000,0.55244
2561340000,0.55255
2561515000,0.55284
2562206000,0.55328
2562540500,0.55372
2564403500,0.55361
2565422500,0.55356
2565722500,0.55379
2565943000,0.55411
2568142500,0.55384
2568558500,0.55403
2568670000,0.55435
2576447500,0.55302
2577312000,0.55303
2577533000,0.55346
2579298500,0.55328
2579495500,0.55393
2582078500,0.55362
2582739500,0.55376
2585402500,0.55342
2586835000,0.55345
2587707000,0.55372
2589345500,0.55366
2589473000,0.55389
2591214000,0.55382
2592956500,0.55378
2593744000,0.55388
2593867500,0.55407
2594234000,0.55433
2594968500,0.55442
2595262000,0.5547
2596467000,0.55465
2596496000,0.55494
2596537500,0.55521
2597309000,0.55534
2601194500,0.55489
2601561000,0.55507
2602729500,0.555
2604098000,0.55496
2604679000,0.55498
2606094000,0.55489
2608869500,0.55448
2611665000,0.5543
2612536500,0.55437
2616437000,0.55391
2616562500,0.55442
2618826000,0.55429
2618827000,0.5546
2620417000,0.55447
2620979000,0.55447
2621355000,0.55473
2621889000,0.55498
2622205000,0.55513
2622543500,0.55538
2623282000,0.55564
2623516000,0.55591
2625182000,0.55581
2626508000,0.55592
2628226000,0.55581
2629522500,0.55589
2629804500,0.55607
2632249500,0.55582
2633364500,0.55619
2635324500,0.55604
2636257000,0.55622
2640343000,0.55567
2640513500,0.55602
2640765500,0.55634
2642723000,0.55621
2643501000,0.55638
2643534500,0.55657
2644677000,0.55674
2646850500,0.55655
2651627000,0.55577
2656451500,0.55518
2657357500,0.55526
2658703000,0.55533
2659303500,0.55552
2660908500,0.55572
2662132500,0.55574
2664253500,0.55572
2665756000,0.55586
2668629500,0.55566
2670148500,0.55567
2672899500,0.55545
2673095500,0.5557
2673898500,0.55589
2674417500,0.55631
2677076500,0.55602
2682145500,0.5552
2683130500,0.55536
2684022000,0.55563
2684829500,0.55579
2686222000,0.556
2688334500,0.55577
2689319000,0.55582
2690777000,0.5559
2692472500,0.55605
2692632000,0.55642
2693454500,0.55787
2693921000,0.5581
2699996000,0.55703
2702946000,0.55665
2706819500,0.55603
2708240000,0.55605
2708821000,0.55621
2709320000,0.55652
2709809500,0.55664
2712032500,0.55643
2712076000,0.55665
2712650500,0.55675
2713480000,0.55685
2714497000,0.55688
2715144000,0.55711
2716690500,0.5571
2716851000,0.55739
2720001500,0.55709
2720543500,0.55733
2721504500,0.55742
2722497500,0.55744
2723040000,0.55753
2724067500,0.55757
2724928500,0.55753
2725902500,0.55747
2727802000,0.55725
2729525000,0.55719
2729860500,0.55739
2730054500,0.55775
2730461500,0.558
2731447000,0.55805
2731478500,0.55847
2732030500,0.55857
2732065500,0.55902
2733749000,0.55894
2733802000,0.55931
2734109000,0.55958
2736303500,0.55931
2736565500,0.55954
2736750000,0.55985
2737532500,0.56009
2737647500,0.56033
2737861500,0.56054
2738474500,0.56066
2738670500,0.56082
2739178000,0.56107
2740150000,0.56101
2740524500,0.56129
2742020000,0.56128
2742104000,0.56153
2742859500,0.56159
2743455000,0.56178
2743548500,0.56201
2744134500,0.56225
2744847000,0.56231
2745400500,0.56246
2747266000,0.5623
2748675000,0.56224
2749532500,0.5622
2749867000,0.5624
2750894500,0.56241
2751035500,0.56263
2752673500,0.5626
2753040000,0.56294
2754136000,0.56323
2754667000,0.56345
2761088500,0.56237
2761754500,0.56253
2763906000,0.56245
2764455500,0.56267
2764496000,0.56293
2765420500,0.5631
2766243000,0.56314
2766320000,0.56336
2772509500,0.56235
2775605500,0.56195
2776640000,0.56197
2777026000,0.56233
2778042500,0.56246
2778601000,0.56264
2781888500,0.56216
2782641500,0.56227
2783877500,0.56235
2784419500,0.5625
2784450500,0.56292
2786603000,0.56268
2786841000,0.56293
2788035500,0.56296
2788311500,0.56304
2788481000,0.56318
2789471000,0.56315
2792164500,0.56283
2793143000,0.56292
2793468500,0.56301
2794790000,0.56299
2794972500,0.56328
2797694500,0.56307
2798926000,0.56322
2801655500,0.56296
2805699000,0.5625
2805958500,0.56272
2807515000,0.56274
2807729500,0.56298
2814419500,0.56192
2814441500,0.56229
2814616000,0.56243
2814957000,0.56264
2815886500,0.56279
2816497000,0.56293
2816604000,0.56306
2816618000,0.56328
2821704000,0.56294
2821797500,0.56327
2822756500,0.56336
2823494500,0.56341
2825619500,0.5634
2826895500,0.5635
2828194500,0.56347
2829002000,0.56356
2830367000,0.56357
2830713500,0.56388
2833665000,0.56357
2835369500,0.56349
2836115500,0.56367
2837126000,0.56374
2838652500,0.56363
2840410500,0.5636
2844541000,0.56313
2846469000,0.56305
2846923000,0.56332
2847929000,0.56339
2848256500,0.56377
2849899000,0.56365
2850289500,0.56388
2852005500,0.56369
2852438500,0.56381
2852622500,0.56415
2852785000,0.56439
2853348500,0.56445
2854732500,0.56442
2855172000,0.56468
2855570000,0.56499
2855739500,0.56526
2858524500,0.56494
2859563500,0.56507
2861240000,0.56502
2868255500,0.56388
2869256000,0.56391
2869839000,0.56394
2872464500,0.5636
2874804500,0.56341
2875273500,0.56349
2875466500,0.56365
2878595500,0.5632
2879028500,0.56339
2882115500,0.56313
2883243000,0.56308
2883693500,0.5632
2885251000,0.56339
2885414000,0.56364
2886758000,0.56372
2887340000,0.56393
2890522000,0.56353
2891772500,0.56355
2897002500,0.56274
2897976500,0.56277
2900574500,0.56255
2900814500,0.56274
2900916500,0.56308
2901898500,0.5631
2904607500,0.56282
2904931000,0.56292
2905313000,0.56319
2908305500,0.56299
2911094000,0.56278
2911164000,0.56308
2913210000,0.56286
2913397500,0.56314
2914250500,0.56328
2916330500,0.56308
2917091000,0.56316
2918343500,0.5631
2918368500,0.56342
2918514000,0.56371
2919310500,0.5638
2922318500,0.56336
2924094000,0.56334
2925102500,0.56339
2925522000,0.5635
2926711000,0.5635
